titulo,director,anio,duracion,link_pelicula,letterboxd,tags,poster
Entre dos luces: Suárez. Primera Parte,Fernando M. Blanco,2015,88,https://drive.google.com/file/d/13s9r_O3rNC3oOW2WonAe7R0UzVZePfd0/view?usp=drive_link,https://letterboxd.com/film/between-two-lights-suarez-first-part/,,https://drive.google.com/uc?id=1qK36AuejDrCg1Evu4HOpRzTkTQ4mPC3u
Besos brujos,José A. Ferreyra,1937,78,https://drive.google.com/file/d/1BGrt_rz-qTxUzoI_tHozI7h0rKD2YZVU/view,https://letterboxd.com/film/bewitching-kisses/,,https://drive.google.com/uc?id=19bgWL5rHP9XmxxkCP02ztiJb78ejjTbA
Más allá del olvido,Hugo del Carril,1956,92,https://drive.google.com/file/d/1ZAkiYv3DLV5zjamoHhAYU-pnBbDMDHtt/view?usp=sharing,https://letterboxd.com/film/beyond-oblivion/,,https://drive.google.com/uc?id=1_0K1KUaeOQpwFRj6GmYp_kizgy6cAs8n
Más allá del sol,Hugo Fregonese,1975,110,https://drive.google.com/file/d/10QBMWIPth5hHqH6gQ5wp6FSOxQ7OV_Ki/view?usp=sharing,https://letterboxd.com/film/beyond-the-sun-1975/,,https://drive.google.com/uc?id=1Cz4_2ZWuZKP8vxpx0VwKfczio_KEGnHw
Iluminados por el fuego,Tristán Bauer,2005,100,https://drive.google.com/file/d/1LEUlbJxUNWF-LTU77jcP7hVnwHUMcB8v/view,https://letterboxd.com/film/blessed-by-fire/,"#MalvinasArgentinas, #MemoriaAbierta",https://drive.google.com/uc?id=1zBJ7gMf1b4_Cydbizz0HWZsiKu4CC8v7
Blue Boy,Manuel Abramovich,2019,19,https://drive.google.com/file/d/1cNrzniy1oQUcGSn8ZRFsQifiIMZ0ADa-/view,https://letterboxd.com/film/blue-boy-2019/,#LGBT,https://drive.google.com/uc?id=1pnd7zmEVn7cGz16oZRzFYfeH2Ia4JNzd
Bolivia,Israel Adrián Caetano,2001,75,https://drive.google.com/file/d/1tHuwlXiG3zWyXr3ha4zTeg9LDjmY0OGS/view,https://letterboxd.com/film/bolivia/,,https://drive.google.com/uc?id=1kmLBILUReINrrQbM2PCqokvGgrp-KYIU
Boogie,Gustavo Cova,2009,85,https://drive.google.com/file/d/1vAbnXn5M4Jzf9KoLRDRqFr0AJHlvb-4o/view,https://letterboxd.com/film/boogie/,,https://drive.google.com/uc?id=1cIqkVDw5JYVIGFH1bQoRM6HVVbwr5XAF
Fragmentada,Facundo Escudero Salinas,2023,104,https://drive.google.com/file/d/1YkHbb4zzNiQfjG1Iu649GlEIdmWMcvmO/view,https://letterboxd.com/film/broken-2023-2/,,https://drive.google.com/uc?id=1ux1-ClW0mL6vnQjoImRrklVia6ytw-QN
Bruma en el Riachuelo,Carlos Schlieper,1942,70,https://mega.nz/folder/aK5imRrJ#hBLKlb3u58Owiu0qp8lnyQ,https://letterboxd.com/film/bruma-en-el-riachuelo/,,https://drive.google.com/uc?id=1WQ3n1Pz6PqXNwpsuMfLA9E8q55fxv0E4
Buenos Aires viceversa,Alejandro Agresti,1996,122,https://drive.google.com/file/d/1fuq-3HcNR0xl-RXl3HnAH2QuuL7xtVCI/view,https://letterboxd.com/film/buenos-aires-viceversa/,#MemoriaAbierta,https://drive.google.com/uc?id=1VOzLCeMvDmBLiT-Vqhs8sghU-jvsDRVO
Plata quemada,Marcelo Piñeyro,2000,125,https://drive.google.com/file/d/10X6I_3Pq4dvH7B8YYtExqDtpN84Brl9Y/view,https://letterboxd.com/film/burnt-money/,,https://drive.google.com/uc?id=1kyIgMBSaT_Tx70cOjxLukFARJ2FwQGnK
Mariposa,Marco Berger,2015,103,https://drive.google.com/file/d/19EHZ3j4wEjL8hZn45ROCWLWQDxRbq3pK/view,https://letterboxd.com/film/butterfly-2015/,#LGBT,https://drive.google.com/uc?id=1tpEJCFDXiF2upmV2QTvTUN_JEluZdXOr
